trap_line,trap_name,tunnel_types,internal_baffels,trap_types,trap_types2,lid_securitys,box_condition,note,date_reported
Clinton Valley,C033,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C033a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C034,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C034a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C035,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C035a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C036,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C036a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C037,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C037a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C038,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C038a,new_style,Stainless Steel 170mm baffle,good_design,,65mm_screws,B,,
Clinton Valley,C038b,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C039,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C039a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C040,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C040a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C041,,,,,65mm_screws,,,
Clinton Valley,C041a,new_style,needs x1 baffle,good_design,,65mm_screws,B,,
Clinton Valley,C042,new_style,galve_mesh_trap_baffle,faulty_design,,65mm_screws,A,,
Clinton Valley,C042a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C043,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C043a,new_style,galve_mesh_trap_baffle,faulty_design,,shortscrew_and_nail,A,,
Clinton Valley,C044,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C044a,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C045,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C045a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C046,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C046a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C047,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C047a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C048,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C048a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C049,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C049a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C050,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C050a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C051,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C051a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C052,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C052a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C053,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C053a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C054,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C054a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C055,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C055a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C056,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C056a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C057,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C057a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C058,missing,,,,,,,
Clinton Valley,C058a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C059,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C059a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C060,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C060a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C061,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C061a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C062,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C062a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C063,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C063a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C064,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C064a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C065,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C065a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C066,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,odk req,
Clinton Valley,C066a,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C067,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C067a,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C068,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C068a,new_style,galve_mesh_trap_baffle,faulty_design,good deisgn,65mm_screws,A,,
Clinton Valley,C069,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C069a,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C070,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C070a,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C071,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C071a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C071b,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C071c,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C072,new_style,Stainless Steel 170mm baffle,good_design,,65mm_screws,A,,
Clinton Valley,C072a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C073,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C073a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C074,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C074a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C075,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C075a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C076,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C076a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C076b,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C076c,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C077,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C077a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C078,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C078a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C079,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C079a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C080,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C080a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C081,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C081a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C082,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C082a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C083,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C083a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C084,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C084a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C085,new_style,Stainless Steel 170mm baffle,good_design,,65mm_screws,A,,
Clinton Valley,C085a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C086,new_style,Stainless Steel 170mm baffle,good_design,,65mm_screws,A,,
Clinton Valley,C086a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C087,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C087a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C088,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C088a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C089,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C089a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C090,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C090a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C091,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C091a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C092,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C092a,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C093,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C093a,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C094,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C094a,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C095,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C095a,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C096,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C096a,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C097,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C097a,new_style,galve_mesh_trap_baffle,faulty_design,,shortscrew_and_nail,B,,
Clinton Valley,C097a,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C097b,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C098,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C098a,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C099,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C099a,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C100,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C100a,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C101,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C101a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C102,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C102a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C103,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C103a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C104,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C104a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C105,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C105a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C106,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C106a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C107,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C107a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C108,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C108a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C109,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C109a,infill_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C110,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C175,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C176,new_style,Stainless Steel 170mm baffle,good_design,,65mm_screws,A,,
Clinton Valley,C177,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C178,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C179,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C180,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C181,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C182,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C183,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C184,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C185,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C186,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C187,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C188,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C189,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C190,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C191,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C192,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C193,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C194,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C195,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C196,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C197,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C198,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C199,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
North Branch,CN111,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
North Branch,CN111a,new_style,Stainless Steel 170mm baffle,good_design,,shortscrew_and_nail,B,,
North Branch,CN112,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,B,,
North Branch,CN112a,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,B,,
North Branch,CN113,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,B,,
North Branch,CN113a,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,B,,
North Branch,CN114,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
North Branch,CN114a,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,B,,
North Branch,CN115,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
North Branch,CN115a,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,B,,
North Branch,CN116,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
North Branch,CN116a,new_style,galve_mesh_trap_baffle,faulty_design,good design,shortscrew_and_nail,B,,
North Branch,CN117,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
North Branch,CN117a,new_style,Stainless Steel 170mm baffle,good_design,,65mm_screws kea_brackets,A,,
North Branch,CN117b,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
North Branch,CN118,new_style,Stainless Steel 170mm baffle,good_design,,kea_brackets 65mm_screws,A,,
North Branch,CN119,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
North Branch,CN120,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
North Branch,CN121,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
North Branch,CN122,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
North Branch,CN123,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
North Branch,CN124,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
North Branch,CN125,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
North Branch,CN126,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
North Branch,CN127,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
North Branch,CN128,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
North Branch,CN129,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
North Branch,CN130,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
North Branch,CN131,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
North Branch,CN132,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
North Branch,CN133,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
North Branch,CN134,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
North Branch,CN135,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
North Branch,CN136,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
North Branch,CN137,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
North Branch,CN138,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
North Branch,CN139,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
North Branch,CN140,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
North Branch,CN141,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
North Branch,CN142,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
North Branch,CN143,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
North Branch,CN144,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
North Branch,CN145,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
North Branch,CN146,new_style,Stainless Steel 170mm baffle,good_design,,65mm_screws,B,,
