deviceId,area,trap_line,code,boxLength,entrance,,,end,internal_baffels,,killtrap,lid_securitys,rebar,pinkTri,box_condition,note,photo,date_reported,volname
,Murchies,BC,BC11,,oldstyleext,,,,no_trap_baffle_no_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BC,BC12,,missing,,,,,,,,,,,,,20-Oct,
,Murchies,BC,BC12A,,oldstyleext,,,,no_trap_baffle_but_has_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BC,BC13A,,new_style,,,,Stainless Steel 170mm Baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BC,BC13B,,oldstyleext,,,,no_trap_baffle_no_slot,,good_design,kea_brackets 65mm_screws,,,C,,,,
,Murchies,BC,BC14,,oldstyleext,,,,no_trap_baffle_no_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BC,BC15,,oldstyleext,,,,no_trap_baffle_no_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BC,BC16,,new_style,,,,Stainless Steel 170mm Baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BC,BC17,,oldstyleext,,,,no_trap_baffle_no_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BC,BC18,,oldstyleext,,,,no_trap_baffle_no_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BC,BC19,,new_style,,,,Stainless Steel 170mm Baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BC,BC20,,oldstyleext,,,,no_trap_baffle_no_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BC,BC21,,new_style,,,,Stainless Steel 170mm Baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BC,BC22,,oldstyleext,,,,no_trap_baffle_but_has_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BC,BC23,,oldstyleext,,,,no_trap_baffle_but_has_slot,,good_design,65mm_screws kea_brackets,,,B,,,,
,Murchies,BC,BC24,,oldstyleext,,,,no_trap_baffle_but_has_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BC,BC25,,new_style,,,,Stainless Steel 170mm Baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BC,BC25A,,oldstyleext,,,,no_trap_baffle_no_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BC,BC25B,,infill_style,,,,Stainless Steel 150mm Baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BC,BC26,,new_style,,,,Stainless Steel 170mm Baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BC,BC26A,,infill_style,,,,Stainless Steel 150mm Baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BC,BC27,,oldstyleext,,,,no_trap_baffle_no_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BC,BC27A,,infill_style,,,,Stainless Steel 150mm Baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BC,BC28,,new_style,,,,Stainless Steel 170mm Baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BC,BC28A,,infill_style,,,,Stainless Steel 150mm Baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BC,BC29,,oldstyleext,,,,no_trap_baffle_no_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BC,BC29A,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BC,BC30,,oldstyleext,,,,no_trap_baffle_but_has_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BC,BC30A,,infill_style,,,,no_trap_baffle_but_has_slot door_baffle_wooden,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BC,BC31,,oldstyleext,,,,no_trap_baffle_no_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BC,BC31A,,infill_style,,,,Stainless Steel 150mm Baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BC,BC32,,new_style,,,,Stainless Steel 170mm Baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR01,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR02,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR03,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR04,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR05,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR06,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR07,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR08,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR09,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR10,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR11,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR12,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AR,AR13,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR14,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR15,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR16,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR17,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR18,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR19,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR20,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR21,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR22,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR23,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR24,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR25,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR26,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR27,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR28,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR29,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR30,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR31,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR32,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AR,AR33,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR34,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR35,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR36,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR37,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR38,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR39,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR40,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR41,,new_style,,,,galve_mesh_trap_baffle,,good_design second_trap_different,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR42,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR43,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR44,,new_style,,,,galve_mesh_trap_baffle,,faulty_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR45,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR46,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR47,,new_style,,,,galve_mesh_trap_baffle,,faulty_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR48,,new_style,,,,galve_mesh_trap_baffle,,faulty_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR49,,new_style,,,,galve_mesh_trap_baffle,,faulty_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR50,,new_style,,,,galve_mesh_trap_baffle,,faulty_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR51,,new_style,,,,galve_mesh_trap_baffle,,faulty_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR52,,new_style,,,,galve_mesh_trap_baffle,,faulty_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR53,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR54,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR55,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AR,AR56,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR57,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR58,,new_style,,,,galve_mesh_trap_baffle,,faulty_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AR,AR59,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BL,BL01,,new_style,,,,no_trap_baffle_but_has_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BL,BL02,,new_style,,,,no_trap_baffle_but_has_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BL,BL03,,new_style,,,,no_trap_baffle_but_has_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BL,BL04,,new_style,,,,no_trap_baffle_but_has_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BL,BL05,,new_style,,,,no_trap_baffle_but_has_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BL,BL06,,buried in rock slip,,,,,,,,,,,,,20-Oct,
,Murchies,BL,BL07,,new_style,,,,no_trap_baffle_but_has_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BL,BL08,,new_style,,,,no_trap_baffle_but_has_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BL,BL09,,new_style,,,,no_trap_baffle_but_has_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BL,BL10,,new_style,,,,no_trap_baffle_but_has_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BL,BL11,,new_style,,,,no_trap_baffle_but_has_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BL,BL12,,new_style,,,,no_trap_baffle_but_has_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BL,BL13,,new_style,,,,no_trap_baffle_but_has_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BL,BL14,,new_style,,,,no_trap_baffle_but_has_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BL,BL15,,new_style,,,,no_trap_baffle_but_has_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BL,BL16,,new_style,,,,no_trap_baffle_but_has_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BL,BL17,,new_style,,,,no_trap_baffle_but_has_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BL,BL18,,new_style,,,,no_trap_baffle_but_has_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BL,BL19,,new_style,,,,no_trap_baffle_but_has_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BL,BL20,,new_style,,,,no_trap_baffle_but_has_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BL,BL21,,new_style,,,,no_trap_baffle_but_has_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BL,BL22,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BL,BL23,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BL,BL24,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BL,BL25,,new_style,,,,galve_mesh_trap_baffle,,good_design second_trap_different,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BL,BL26,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BL,BL27,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BL,BL28,,new_style,,,,galve_mesh_trap_baffle,,good_design second_trap_different,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BL,BL29,,new_style,,,,galve_mesh_trap_baffle,,good_design second_trap_different,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BL,BL30,,new_style,,,,galve_mesh_trap_baffle,,good_design second_trap_different,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BL,BL31,,new_style,,,,galve_mesh_trap_baffle,,good_design second_trap_different,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BL,BL31A,,new_style,,,,galve_mesh_trap_baffle,,good_design second_trap_different,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BL,BL32,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BL,BL33,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BL,BL34,,new_style,,,,galve_mesh_trap_baffle,,good_design second_trap_different,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BL,BL35,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BL,BL36,,new_style,,,,galve_mesh_trap_baffle,,good_design second_trap_different,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BL,BL37,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BL,BL38,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BL,BL39,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BL,BL40,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
